v1---v1 weight: 2 path:  v1-->v8-->v1
v1---v2 weight: 12 path:  v1-->v2
v1---v3 weight: 2 path:  v1-->v8-->v3
v1---v4 weight: 5 path:  v1-->v8-->v3-->v4
v1---v5 weight: 7 path:  v1-->v8-->v3-->v5
v1---v6 weight: 8 path:  v1-->v8-->v3-->v6
v1---v7 weight: 14 path:  v1-->v7
v1---v8 weight: 1 path:  v1-->v8

v2---v1 weight: 12 path:  v2-->v1
v2---v2 weight: 14 path:  v2-->v6-->v2
v2---v3 weight: 10 path:  v2-->v3
v2---v4 weight: 13 path:  v2-->v3-->v4
v2---v5 weight: 9 path:  v2-->v6-->v5
v2---v6 weight: 7 path:  v2-->v6
v2---v7 weight: 16 path:  v2-->v6-->v7
v2---v8 weight: 11 path:  v2-->v3-->v8

v3---v1 weight: 2 path:  v3-->v8-->v1
v3---v2 weight: 10 path:  v3-->v2
v3---v3 weight: 2 path:  v3-->v8-->v3
v3---v4 weight: 3 path:  v3-->v4
v3---v5 weight: 5 path:  v3-->v5
v3---v6 weight: 6 path:  v3-->v6
v3---v7 weight: 13 path:  v3-->v5-->v7
v3---v8 weight: 1 path:  v3-->v8

v4---v1 weight: 5 path:  v4-->v3-->v8-->v1
v4---v2 weight: 13 path:  v4-->v3-->v2
v4---v3 weight: 3 path:  v4-->v3
v4---v4 weight: 6 path:  v4-->v3-->v4
v4---v5 weight: 4 path:  v4-->v5
v4---v6 weight: 6 path:  v4-->v5-->v6
v4---v7 weight: 12 path:  v4-->v5-->v7
v4---v8 weight: 4 path:  v4-->v3-->v8

v5---v1 weight: 7 path:  v5-->v3-->v8-->v1
v5---v2 weight: 9 path:  v5-->v6-->v2
v5---v3 weight: 5 path:  v5-->v3
v5---v4 weight: 4 path:  v5-->v4
v5---v5 weight: 4 path:  v5-->v6-->v5
v5---v6 weight: 2 path:  v5-->v6
v5---v7 weight: 8 path:  v5-->v7
v5---v8 weight: 6 path:  v5-->v3-->v8

v6---v1 weight: 8 path:  v6-->v3-->v8-->v1
v6---v2 weight: 7 path:  v6-->v2
v6---v3 weight: 6 path:  v6-->v3
v6---v4 weight: 6 path:  v6-->v5-->v4
v6---v5 weight: 2 path:  v6-->v5
v6---v6 weight: 4 path:  v6-->v5-->v6
v6---v7 weight: 9 path:  v6-->v7
v6---v8 weight: 7 path:  v6-->v3-->v8

v7---v1 weight: 14 path:  v7-->v1
v7---v2 weight: 16 path:  v7-->v6-->v2
v7---v3 weight: 13 path:  v7-->v5-->v3
v7---v4 weight: 12 path:  v7-->v5-->v4
v7---v5 weight: 8 path:  v7-->v5
v7---v6 weight: 9 path:  v7-->v6
v7---v7 weight: 16 path:  v7-->v5-->v7
v7---v8 weight: 14 path:  v7-->v5-->v3-->v8

v8---v1 weight: 1 path:  v8-->v1
v8---v2 weight: 11 path:  v8-->v3-->v2
v8---v3 weight: 1 path:  v8-->v3
v8---v4 weight: 4 path:  v8-->v3-->v4
v8---v5 weight: 6 path:  v8-->v3-->v5
v8---v6 weight: 7 path:  v8-->v3-->v6
v8---v7 weight: 14 path:  v8-->v3-->v5-->v7
v8---v8 weight: 2 path:  v8-->v1-->v8

